科目代码,科目名称,归属中心,4月预算,年度预算,预算占比,费用类型
6601.01.001,工资及奖金,基地管理中心,40000,480000,31.1%,人工
6601.01.002,社保公积金,基地管理中心,2500,30000,1.9%,人工
6601.02.003,网电费,基地管理中心,5000,60000,3.9%,办公
6601.03.004,账号费用,基地管理中心,9000,108000,7.0%,公务活动
6601.03.005,投流费用,基地管理中心,40000,480000,31.1%,公务活动
6601.04.001,无人直播软件服务费,基地管理中心,10000,120000,7.8%,其他
6601.04.002,其他软件服务费,基地管理中心,1000,12000,0.8%,其他
6601.04.003,视频制作费,基地管理中心,3000,36000,2.3%,其他
6601.04.004,音频制作费,基地管理中心,18000,216000,14.0%,其他
6601.01.001,工资及奖金,本地生活运营中心,33000,396000,21.5%,人工
6601.01.002,社保公积金,本地生活运营中心,1250,15000,0.8%,人工
6601.02.003,网电费,本地生活运营中心,500,6000,0.3%,办公
6601.02.004,房租费,本地生活运营中心,1800,21600,1.2%,办公
6601.03.002,差旅费,本地生活运营中心,5000,60000,3.3%,公务活动
6601.03.004,账号费用,本地生活运营中心,16500,198000,10.7%,公务活动
6601.03.005,投流费用,本地生活运营中心,50000,600000,32.5%,公务活动
6601.04.001,无人直播软件服务费,本地生活运营中心,39500,474000,25.7%,其他
6601.04.003,视频制作费,本地生活运营中心,2500,30000,1.6%,其他
6601.04.004,音频制作费,本地生活运营中心,3600,43200,2.3%,其他
6601.01.001,工资及奖金,人事行政财务中心,23500,282000,67.1%,人工
6601.01.002,社保公积金,人事行政财务中心,1500,18000,4.3%,人工
6601.02.001,办公耗材,人事行政财务中心,2000,24000,5.7%,办公
6601.02.003,网电费,人事行政财务中心,1000,12000,2.9%,办公
6601.02.004,房租费,人事行政财务中心,2000,24000,5.7%,办公
6601.02.005,快递费,人事行政财务中心,1000,12000,2.9%,办公
6601.03.006,培训费,人事行政财务中心,3000,36000,8.6%,公务活动
6601.04.002,其他软件服务费,人事行政财务中心,1000,12000,2.9%,其他
6601.01.001,工资及奖金,商务中心,28000,336000,70.0%,人工
6601.01.002,社保公积金,商务中心,2000,24000,5.0%,人工
6601.02.002,通讯费,商务中心,1000,12000,2.5%,办公
6601.02.003,网电费,商务中心,500,6000,1.3%,办公
6601.02.005,快递费,商务中心,500,6000,1.3%,办公
6601.03.001,业务招待费,商务中心,3000,36000,7.5%,公务活动
6601.03.002,差旅费,商务中心,3000,36000,7.5%,公务活动
6601.04.002,其他软件服务费,商务中心,2000,24000,5.0%,其他
